token,web_url,title,posted_time_text,location,mileage_text_raw,mileage_km,year_text,color,brand_model_text,gearbox,fuel_type,base_price_text_raw,base_price_toman,engine_condition,chassis_front_condition,chassis_rear_condition,body_condition,gearbox_condition,description,scraped_at
ga0yPERA,https://divar.ir/v/ga0yPERA,پژو آردی مدل ۸۴,دیروز در تهران، شهید بهشتی، جاده گلحصار,tehran، shahid-beheshti-rey,۴۹۶۰۰۰,496000,۱۳۸۴ - ۲۰۰۵,یشمی,پژو آر دی آی (RDi) بنزینی,دنده‌ای,بنزین,"‏۲۲۰,۰۰۰,۰۰۰ تومان",220000000,نیاز به تعمیر,رنگ‌شده,سالم و پلمپ,دوررنگ,تعمیر شده,"موتور روغن ریزی داره❌
مقداری کمپرس هم داره❌
سقف و ستون پلمپ✅
دوررنگ❌
بیمه ۱۰ ماه✅
معاینه فنی نداره❌",2026-09-26T01:44:20.027162
ga0uf6M4,https://divar.ir/v/ga0uf6M4,پژو اردی 84 سلامت,دیروز در تهران، دردشت، خ قاسمی,tehran، dardasht,۱۴۰۰۰۰,140000,۱۳۸۴ - ۲۰۰۵,یشمی,پژو آر دی آی (RDi) بنزینی,دنده‌ای,بنزین,"‏۴۱۰,۰۰۰,۰۰۰ تومان",410000000,سالم,سالم و پلمپ,سالم و پلمپ,خط و خش جزیی,سالم و پلمپ,ماشین سلامت کامل از لحاظ بدنه و شاسی و فنی کاملا سالم بدون رنگ مناسب مصرف کننده,2026-09-26T01:44:28.110031
gav-862s,https://divar.ir/v/gav-862s,پژو آردی مدل ۸۱ بیرنگ,۵ روز پیش در تهران، طرشت,tehran، tarasht,۳۰۰۰۰۰,300000,۱۳۸۱ - ۲۰۰۲,عدسی,پژو آر دی (RD) بنزینی,دنده‌ای,بنزین,"‏۲۴۹,۰۰۰,۰۰۰ تومان",249000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,تعمیر شده,آردی مدل ۸۱ بیرنگ بسیار سالم فنی در حد نو ۱۲۰ میلیون فاکتور موتور موجوده تازه همه چیش تعمیر شده استثنایی بسیار سالم و تمیز بیمه ۷ ماه خلاصه ماشین بسیار سالم می‌باشد,2026-09-26T01:45:11.931987
ganiAKEI,https://divar.ir/v/ganiAKEI,آردی مدل ۸۴,هفته پیش در تهران، پرستار، میدان سیزده آبان,tehran، parastar,۲۳۰۰۰۰,230000,۱۳۸۴ - ۲۰۰۵,یشمی,پژو آر دی (RD) بنزینی,دنده‌ای,بنزین,"‏۳۲۰,۰۰۰,۰۰۰ تومان",320000000,سالم,سالم و پلمپ,سالم و پلمپ,خط و خش جزیی,سالم و پلمپ,"شاسی ها پلمپ 
کفی سه بعدی 
فرمون هیدرولیک
دیسک و صفحه نو
فنی  سلامت 
لنت ترمز عقب و جلو تعویض شده 
بیمه و معاینه فنی تا آخر سال دارد 
کارکرد   230  تا
قیمت  320  میلیون تومن",2026-09-26T01:45:20.988822
ga0K_UHk,https://divar.ir/v/ga0K_UHk,پژو آردی مدل۸۳,دیروز در تهران، امام حسین، خ مهراب بیگی,tehran، emam-hossein,۲۳۲۰۰۰,232000,۱۳۸۳ - ۲۰۰۴,طوسی,پژو آر دی آی (RDi) بنزینی,دنده‌ای,بنزین,"‏۲۳۵,۰۰۰,۰۰۰ تومان",235000000,سالم,ضربه‌خورده,سالم و پلمپ,خط و خش جزیی,سالم و پلمپ,"پژو RDi مدل ۸۳ (اخر ۸۲)– انژکتور، فرمان هیدرولیک

فروش پژو RDi مدل ۸۳، انژکتور، فرمان هیدرولیک
بیمه و معاینه فنی تا خرداد سال آینده

وضعیت فنی:
موتور و سواری اوکی، همه چی جعبه
کولر فعال نیست
شاسی عقب سالم
شاسی جلو جوش داره (قبلاً همینطور خریداری شده)

قطعات تازه تعویض شده:
شمع و وایر تازه عوض شده
باتری تازه عوض شده
کارتل، پولس، روغن ترمز، واسکازین و... تازه انجام شده

بدنه و ظاهر:
دور تا دور ماشین جاهای زنگ‌زده رو با رنگ خودش لکه‌گیری کردم به اسم دور رنگ میفروشم
بعضی جاها که نیاز به صافکاری داشته انجام شده
روش ضبط داره

قیمت: ۲۳۵ میلیون تومان

وضعیت ماشین همینه که گفتم، شفاف و صادقانه. برای کسی که دنبال ماشین کارراه‌انداز با قیمت مناسب باشه، گزینه خوبیه با این مبلغ موتور هم نمیدن.

 تهران
 برای اطلاعات بیشتر پیام بدید یا تماس بگیرید.",2026-09-26T01:45:30.471231
gaeuMkpa,https://divar.ir/v/gaeuMkpa,آردی  نقد و اقساط,۲ هفته پیش در تهران، شهرک شریعتی,tehran، shaharak-e-shariyati,۳۲۰۰۰۰,320000,۱۳۸۲ - ۲۰۰۳,سبز,پژو آر دی (RD) بنزینی,دنده‌ای,بنزین,"‏۳۲۵,۰۰۰,۰۰۰ تومان",325000000,سالم,سالم و پلمپ,سالم و پلمپ,رنگ‌شدگی در ۱ ناحیه,تعمیر شده,"نقد واقساط 
چند لکه رنگ  شاستیها سالم 

فنی سالم سالم

نقد و اقساط عالی",2026-09-26T01:46:14.234362
ga0eA6qy,https://divar.ir/v/ga0eA6qy,پژو آردی مدل ۸۴,پریروز در تهران، مجیدآباد، خ تهرانی,tehran، majid-abad,۱۹۰۰۰۰,190000,۱۳۸۴ - ۲۰۰۵,یشمی,پژو آر دی آی (RDi) بنزینی,دنده‌ای,بنزین,"‏۳۵۰,۰۰۰,۰۰۰ تومان",350000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"آردی آخر۸۴
سند تک برگ
بدون تصادف سالم سالم

کارکرد واقعی ۱۹۰ هزار

پیامک جوابگو نیستم،فقط تماس


قیمت مقطوع",2026-09-26T01:46:23.349311
gaz6r4Pq,https://divar.ir/v/gaz6r4Pq,پژو آردی مدل 84,پریروز در تهران، شهید رجایی، خ مفتح شمالی,tehran، eslam-abad,۲۲۵۰۰۰,225000,۱۳۸۴ - ۲۰۰۵,سفید,پژو آر دی (RD) بنزینی,دنده‌ای,بنزین,"‏۲۶۸,۰۰۰,۰۰۰ تومان",268000000,سالم,تعیین‌نشده,تعیین‌نشده,دوررنگ,,"فنی سالم
دور رنگ 
ضبط بلوتوثی 
آماده مسافرت
پول موتورم نیست
انژکتور 
فرمون هیدرولیک",2026-09-26T01:46:34.243308
gayytM5f,https://divar.ir/v/gayytM5f,پژو اردی,۳ روز پیش در تهران، باغ فیض، خ خجسته پور,tehran، bagh-feyz,۲۶۰۰۰۰,260000,۱۳۸۶ - ۲۰۰۷,یشمی,پژو آر دی (RD) بنزینی,دنده‌ای,بنزین,"‏۲۸۰,۰۰۰,۰۰۰ تومان",280000000,سالم,سالم و پلمپ,سالم و پلمپ,خط و خش جزیی,سالم و پلمپ,"مدل84
260تا کار
شاسی ها و سینی ها سالم 
بدنه خوردگی و خط خش جزئی 
ماشین بدونه تصادف و از لحاظ فنی در سلامت کامل هست",2026-09-26T01:47:26.178330
gay2XlQn,https://divar.ir/v/gay2XlQn,پژو اردی ای,۳ روز پیش در تهران، والفجر (افسریه)، بلوار قائم,tehran، valfajr-afsarieh,۲۵۰۰۰۰,250000,۱۳۸۵ - ۲۰۰۶,یشمی,پژو آر دی آی (RDi) بنزینی,دنده‌ای,بنزین,"‏۲۶۵,۰۰۰,۰۰۰ تومان",265000000,سالم,رنگ‌شده,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,فنی بسیار سالم ظاهری سالم وبیخرجه تودوزی مرتب ولاستیکها هشتاد درصد وبرای زیبایی صندوق عقبشو پژوئی کردم خلاصه بگم ماشینه خوبیه بدلیل نیاز مالی میفروشمش پول یه موتور هندا هم نیست,2026-09-26T01:47:35.550903
gayuquzK,https://divar.ir/v/gayuquzK,تاکسی گردشی تهران,۳ روز پیش در تهران، فرودگاه مهرآباد، بزرگراه شهید سعیدی,tehran، mehrabad-airport,۱۵۵۰۰۰,155000,۱۳۸۳ - ۲۰۰۴,سفید,پژو آر دی (RD) بنزینی,دنده‌ای,بنزین,"‏۴۲۰,۰۰۰,۰۰۰ تومان",420000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,پژو اردی مدل 83سالم کارکرد واقعی 155تا ماشین کار نکرده شخصی مدتی استفاده شده خط گردشی تهران سند دودست چرخیده بنرین 400لیتر 1500ت400لیتر 3000ت,2026-09-26T01:48:34.327348
gayiaGHd,https://divar.ir/v/gayiaGHd,آردی,۳ روز پیش در تهران، جابری,tehran، jaberi,۲۹۰۰۰۰,290000,۱۳۸۵ - ۲۰۰۶,سبز,پژو آر دی (RD) بنزینی,دنده‌ای,بنزین,"‏۴۰۰,۰۰۰,۰۰۰ تومان",400000000,سالم,ضربه‌خورده,سالم و پلمپ,سالم و بی‌خط و خش,تعمیر شده,آردی مدل 85برندهاز سایپا امتیاز فرسوده سهندs,2026-09-26T01:48:41.620064
gay-GgJA,https://divar.ir/v/gay-GgJA,پژو اردی تصادفی,۳ روز پیش در تهران، حر، خ اعلمی اشتهاردی,tehran، hor-square,۲۵۰۰۰,25000,۱۳۸۳ - ۲۰۰۴,یشمی,پژو آر دی (RD) دوگانه سوز CNG,دنده‌ای,دوگانه‌سوز دستی,"‏۲۲۰,۰۰۰,۰۰۰ تومان",220000000,سالم,سالم و پلمپ,ضربه‌خورده,تصادفی,تعمیر شده,پژو اردی موتور و شاسی سالم,2026-09-26T01:48:48.812351
gamKIlMy,https://divar.ir/v/gamKIlMy,پژو انژکتور اردی نقد اقساط معاوضه,هفته پیش در تهران، تهرانپارس غربی، کنارگذر زفرقندی,tehran، west-tehranpars,۵۰۰۰۰,50000,۱۳۸۳ - ۲۰۰۴,یشمی,پژو آر دی آی (RDi) بنزینی,,بنزین,"‏۳۸۰,۰۰۰,۰۰۰ تومان",380000000,سالم,سالم و پلمپ,سالم و پلمپ,دوررنگ,,"فروش نقد اقساط پژو اردی 83انژکتور عکس ها متعلق ب ماشین هست بسیار تمیز
فنی موتوریرسلامت 
موتور سال ۱۴۰۱ تعویض شده موتور روا روش انداختم 
ثبت در سند بدون مشکل 
روغن موتور گیبربکس ودف همه نو شده
بهمراه فیلترها
لاستیک های جلو نو عقب 80 درصد
لنتها نو
بیمه معاینه فعال اطراف رنگ شدگی داره ک نسبت بمدل طبیعی هست
شاسی سمت شاگرد قبلن ضربه داشته درست شده باقی سالم پلمپ
فروش نقدی واقساطی هم دارم
معاوض با پراید دنده اتومات دارم 
معاوض با ماشین ارزانتر دارم",2026-09-26T01:49:38.156319
gan68NxW,https://divar.ir/v/gan68NxW,اردی مدل ۸۵ کولر روشن,هفته پیش در تهران، کن، خ شهدای کن,tehran، kan,۴۶۰۰۰۰,460000,۱۳۸۵ - ۲۰۰۶,یشمی,پژو آر دی آی (RDi) بنزینی,دنده‌ای,بنزین,"‏۲۶۵,۰۰۰,۰۰۰ تومان",265000000,سالم,ضربه‌خورده,تعیین‌نشده,دوررنگ,نیاز به تعمیر جزئی,"با سلام 
اردی ای مدل ۸۵ 
چراغ جلو ها نو 
خوش رخ 
درب صندوق ۴۰۵ی 
لاستیک ها ۸۰ ، ۹۰ درصد 
بیمه تا برج ۱۲ معاینه یک سال 
کولر روشن
گیربوکس در حال تعمیرر و صحیح سالم تحویل داده می‌شود 
ظبط و باند با کیفیت 
موتور سالم بدون روغن سوزی و ریزی 
شاسی یه طرف جزئی خورده 
مدارک آماده 
مناسب مصرف کننده 
پیام و تماس در خدمتم 
یا حق",2026-09-26T01:49:45.280738
gapqF2ic,https://divar.ir/v/gapqF2ic,پژو آدری آی  یشمی مدل ۸۴,هفته پیش در تهران، ازگل، خ شهید تاج محرابی,tehran، ozgol,۴۱۸۰۰۰,418000,۱۳۸۴ - ۲۰۰۵,یشمی,پژو آر دی آی (RDi) بنزینی,دنده‌ای,بنزین,"‏۲۸۵,۰۰۰,۰۰۰ تومان",285000000,سالم,سالم و پلمپ,سالم و پلمپ,خط و خش جزیی,سالم و پلمپ,پژو سواری آردی آی سبز یشمی مدل ۱۳۸۴ بنزینی دارای بیمه تا برج یک سال بعد معاینه فنی تا ۸/۱۴ امسال ضبط فلش و سی دی خور مارشال فنی مرتب. خودرو بیشتر بدون رنگ می باشد. ولی مناسب است که جهت زیبایی دور رنگ گردد.,2026-09-26T01:50:41.343997
gaxKnw--,https://divar.ir/v/gaxKnw--,پرو آردی مدل ۱۳۸۴,۴ روز پیش در تهران، خاک سفید، خ بیستم غربی,tehran، khak-sefid,۴۱۷۸۳۸,417838,۱۳۸۴ - ۲۰۰۵,یشمی,پژو آر دی (RD) دوگانه سوز CNG,دنده‌ای,دوگانه‌سوز شرکتی,"‏۲۲۰,۰۰۰,۰۰۰ تومان",220000000,سالم,ضربه‌خورده,سالم و پلمپ,خط و خش جزیی,سالم و پلمپ,کاپوت برگشته شیشه جلو ترک داره دوتیکه ازسقف گورشده یکم کاپوت گور داره  شاستی جلو ضربه داره جای کمک عقب پوسیده بود درست کردم,2026-09-26T01:50:50.741596
